2025-10-25 20:34:25,492 - INFO - AI provider configured: Heuristic
2025-10-25 20:34:26,144 - INFO - ✅ Frontier AI components loaded
2025-10-25 20:34:26,144 - INFO - 🤖 Real-time AI Analyzer initialized
2025-10-25 20:34:26,144 - INFO - 🚀 Starting real-time collection + analysis for 21 tickers
2025-10-25 20:34:26,144 - INFO -    Time window: 48 hours
2025-10-25 20:34:26,144 - INFO -    Max articles per ticker: 10
2025-10-25 20:34:26,144 - INFO - [1/21] Processing RELIANCE...
2025-10-25 20:34:26,145 - INFO - 📰 Fetching news for RELIANCE (last 48h)
2025-10-25 20:34:40,609 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e14850>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:34:40,610 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e152a0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 20:34:40,612 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e157e0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 20:34:40,614 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5de3ee0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 20:34:40,617 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e16620>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 20:34:40,618 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e16d10>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:34:40,619 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e17340>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 20:34:41,361 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e17c70>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/market
2025-10-25 20:34:41,811 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e14df0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:34:41,812 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7c9cd5e15450>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
