Date,Open,High,Low,Close,Volume,ticker
2025-07-23,164.0,170.4499969482422,164.0,170.4499969482422,31200,URBAN.NS
2025-07-24,173.89999389648438,178.9499969482422,171.75,175.0,36800,URBAN.NS
2025-07-25,178.75,182.85000610351562,167.60000610351562,169.75,51200,URBAN.NS
2025-07-28,180.0,183.89999389648438,170.89999389648438,175.3000030517578,53600,URBAN.NS
2025-07-29,174.0,182.9499969482422,171.25,172.5500030517578,31200,URBAN.NS
2025-07-30,171.25,175.4499969482422,167.39999389648438,172.14999389648438,33600,URBAN.NS
2025-07-31,167.0500030517578,170.0,158.0,159.6999969482422,57600,URBAN.NS
2025-08-01,157.5,168.9499969482422,157.0,160.25,54400,URBAN.NS
2025-08-04,164.0,168.5500030517578,164.0,166.35000610351562,20000,URBAN.NS
2025-08-05,166.5,166.5,160.0,163.3000030517578,35200,URBAN.NS
2025-08-06,162.5,164.9499969482422,160.0,160.5,21600,URBAN.NS
2025-08-07,160.0500030517578,164.0,154.0,158.9499969482422,44800,URBAN.NS
2025-08-08,164.0,164.0,150.0,153.8000030517578,30400,URBAN.NS
2025-08-11,154.6999969482422,154.9499969482422,150.10000610351562,151.60000610351562,22400,URBAN.NS
2025-08-12,148.0500030517578,154.25,148.0500030517578,151.1999969482422,8800,URBAN.NS
2025-08-13,148.14999389648438,152.9499969482422,148.0,151.89999389648438,23200,URBAN.NS
2025-08-14,151.89999389648438,154.0,150.5,152.64999389648438,18400,URBAN.NS
2025-08-18,151.0,153.9499969482422,146.0500030517578,153.75,64000,URBAN.NS
2025-08-19,155.89999389648438,155.89999389648438,151.25,151.64999389648438,19200,URBAN.NS
2025-08-20,151.64999389648438,156.5500030517578,151.64999389648438,153.5500030517578,22400,URBAN.NS
2025-08-21,155.0,155.0,152.0,153.25,28000,URBAN.NS
2025-08-22,154.0,154.0,153.0,153.0,5600,URBAN.NS
2025-08-25,158.0,162.0,152.35000610351562,153.9499969482422,56000,URBAN.NS
2025-08-26,154.9499969482422,157.0,153.0,153.4499969482422,32000,URBAN.NS
2025-08-28,153.0500030517578,156.85000610351562,152.0,156.1999969482422,19200,URBAN.NS
2025-08-29,155.4499969482422,156.4499969482422,152.39999389648438,153.3000030517578,12800,URBAN.NS
2025-09-01,153.3000030517578,157.0,153.3000030517578,155.3000030517578,48000,URBAN.NS
2025-09-02,154.5,158.60000610351562,153.10000610351562,155.6999969482422,20000,URBAN.NS
2025-09-03,155.6999969482422,157.0,155.0,156.0,14400,URBAN.NS
2025-09-04,156.10000610351562,158.6999969482422,155.0500030517578,157.9499969482422,24800,URBAN.NS
2025-09-05,157.1999969482422,163.0500030517578,157.1999969482422,160.8000030517578,41600,URBAN.NS
2025-09-08,160.0,161.3000030517578,159.0,160.0,24000,URBAN.NS
2025-09-09,162.89999389648438,164.5,160.64999389648438,163.39999389648438,24000,URBAN.NS
2025-09-10,165.0,171.9499969482422,165.0,170.9499969482422,68800,URBAN.NS
2025-09-11,171.0,171.0,165.5,165.6999969482422,27200,URBAN.NS
2025-09-12,164.89999389648438,167.25,163.0500030517578,163.75,16800,URBAN.NS
2025-09-15,162.0500030517578,166.89999389648438,160.10000610351562,161.5500030517578,18400,URBAN.NS
2025-09-16,164.6999969482422,164.6999969482422,159.0,160.0,17600,URBAN.NS
2025-09-17,171.89999389648438,176.0,165.0,176.0,116000,URBAN.NS
2025-09-18,179.8000030517578,190.0,179.8000030517578,182.1999969482422,144800,URBAN.NS
2025-09-19,182.0,182.0,174.1999969482422,179.5500030517578,64800,URBAN.NS
2025-09-22,186.9499969482422,186.9499969482422,176.39999389648438,179.1999969482422,52000,URBAN.NS
2025-09-23,176.14999389648438,178.8000030517578,173.0500030517578,174.14999389648438,21600,URBAN.NS
2025-09-24,170.0,173.89999389648438,168.1999969482422,169.35000610351562,21600,URBAN.NS
2025-09-25,169.35000610351562,173.89999389648438,166.60000610351562,168.39999389648438,20000,URBAN.NS
2025-09-26,168.39999389648438,168.85000610351562,160.5500030517578,162.39999389648438,17600,URBAN.NS
2025-09-29,161.5500030517578,167.39999389648438,160.0,160.25,16800,URBAN.NS
2025-09-30,160.0,165.0,156.85000610351562,162.5,20000,URBAN.NS
2025-10-01,162.0500030517578,168.5,162.0,167.0500030517578,19200,URBAN.NS
2025-10-03,166.1999969482422,171.9499969482422,166.0,168.60000610351562,27200,URBAN.NS
2025-10-06,167.8000030517578,167.8000030517578,163.0,163.5,11200,URBAN.NS
2025-10-07,162.5,165.0,161.0,161.60000610351562,9600,URBAN.NS
2025-10-08,163.0,169.89999389648438,163.0,166.89999389648438,12800,URBAN.NS
2025-10-09,166.89999389648438,171.9499969482422,166.89999389648438,169.0,5600,URBAN.NS
2025-10-10,169.0,169.0,167.5,168.0,4800,URBAN.NS
2025-10-13,164.5,167.39999389648438,164.0,164.0,16000,URBAN.NS
2025-10-14,167.4499969482422,168.0,164.5500030517578,164.5500030517578,11200,URBAN.NS
2025-10-15,166.6999969482422,166.75,161.8000030517578,166.5500030517578,30400,URBAN.NS
2025-10-16,167.5,168.6999969482422,167.39999389648438,167.89999389648438,12800,URBAN.NS
2025-10-17,165.1999969482422,167.85000610351562,165.10000610351562,166.39999389648438,4800,URBAN.NS
2025-10-20,162.0,166.8000030517578,162.0,164.89999389648438,17600,URBAN.NS
2025-10-21,164.0,167.0,164.0,166.35000610351562,8000,URBAN.NS
2025-10-23,166.35000610351562,168.5,162.10000610351562,164.35000610351562,13600,URBAN.NS
2025-10-24,164.0,166.9499969482422,163.60000610351562,164.5,9600,URBAN.NS
2025-10-27,165.0,165.0,162.5,163.5,8800,URBAN.NS
2025-10-28,165.5,165.5,160.0500030517578,161.6999969482422,17600,URBAN.NS
2025-10-29,160.10000610351562,162.9499969482422,160.0,160.0,12000,URBAN.NS
2025-10-30,160.1999969482422,162.0,160.0,162.0,11200,URBAN.NS
2025-10-31,162.60000610351562,162.60000610351562,157.0,158.75,16000,URBAN.NS
